#CID	XID	z	RA	Dec	log_Lbol	log_MBH	log_MBH_err	spec	log_Ms	log_Ms_err
CID-1186	XID-416	0.993	149.93587	2.440583	45.06283876	9.066163	0.4570334	Ha (FMOS-COSMOS)	10.5413975	0.138500482
CID-162	XID-169	2.45825	149.7359	2.027627	45.7672879	9.304936	0.06625927	Hb (FMOS-COSMOS)	11.46873195	0.022276395
CID-166	XID-199	2.448	149.74449	2.02756	46.31499151	9.319338	0.05292578	Hb (FMOS-COSMOS)	11.55134109	0.141225996
CID-201	XID-294	1.493	149.90608	1.917237	45.48425616	8.791347	0.02469437	Ha (FMOS-COSMOS)	11.31183314	0.119057891
CID-247	XID-373	2.419384	150.0468	1.866742	45.55898748	8.502236	0.7201988	Hb (FMOS-COSMOS)	10.92744421	0.089837017
CID-260	XID-141	0.83419	150.13911	1.877	44.72549645	8.09722	0.1293042	Ha (FMOS-COSMOS)	11.08623912	0.154255246
CID-346	-	2.194	149.93088	2.118734	45.63794422	8.989296	0.02417974	Hb (FMOS-COSMOS)	10.8121029	0.118727478
CID-352	XID-51	2.498	150.05891	2.015179	45.97642933	8.968149	0.03707081	Hb (FMOS-COSMOS)	nan	nan
CID-356	XID-185	1.033	149.99525	2.006661	44.92854885	7.555352	0.0805209	Ha (FMOS-COSMOS)	10.64399215	0.145532155
CID-446	XID-10	0.686	149.91245	2.200366	44.57976902	7.547553	0.03847557	Ha (FMOS-COSMOS)	10.43764229	0.236048874
CID-501	XID-31	0.909	149.94553	2.369289	45.01300064	7.992863	0.1674813	Ha (FMOS-COSMOS)	10.52988904	0.162799029
CID-668	XID-325	0.969	150.02496	1.914794	44.10927963	8.859303	0.1931592	Ha (FMOS-COSMOS)	11.12855794	0.150086216
CID-71	XID-61	0.728	150.12367	2.358294	44.98369258	7.982962	0.0254417	Ha (FMOS-COSMOS)	10.90703966	0.237836367
CID-79	XID-65	0.979	150.17397	2.402994	45.3356543	8.997645	0.04624655	Ha (FMOS-COSMOS)	10.34815187	0.147686767
CID-87	XID-18	1.598	150.13304	2.303283	46.3073673	8.563381	0.3726781	Ha (FMOS-COSMOS)	11.37392219	0.075303049
